tif_name,years,discrepancy_field,status
119th/Halsted,2012,property_tax_extraction,"Inaccurate, updated"
134th/Avenue K,2012,property_tax_extraction,0 is accurate
40th/State,"2011, 2012, 2013",property_tax_extraction,"Accurate, no data"
67th/Wentworth,2024,property_tax_extraction,"Accurate, no data"
73rd/Kedzie,"2011, 2012",property_tax_extraction,"Accurate, no data"
79th Street Corridor,2012,property_tax_extraction,"Inaccurate, updated"
79th/Southwest Highway,2012,property_tax_extraction,"Inaccurate, updated"
Archer/Western,"2014, 2015",cumulative_property_tax_extraction,Accurate
Armitage/Pulaski,2015,cumulative_property_tax_extraction,Accurate
Avondale,"2013, 2014, 2015",cumulative_property_tax_extraction,Accurate
Calumet River,"2011, 2012, 2013, 2014, 2015, 2016",property_tax_extraction,
Chicago Lakeside Development - Phase 1,"2011, 2012, 2013, 2014, 2015, 2016, 2017",property_tax_extraction,
Cicero/Stevenson,"2023, 2024",property_tax_extraction,
Clark/Ridge,2012,cumulative_property_tax_extraction,
Commercial Avenue,2013,property_tax_extraction,
Division/North Branch,2011,property_tax_extraction,
Foster/California,"2020, 2021, 2022, 2024",cumulative_property_tax_extraction,
Foster/California,2023,property_tax_extraction,
Greater Southwest Industrial (East),2012,property_tax_extraction,
Greater Southwest Industrial (West),2013,cumulative_property_tax_extraction,
Harlem Industrial Park Conservation Area,"2013, 2014, 2015, 2016, 2017",cumulative_property_tax_extraction,
Harlem Industrial Park Conservation Area,"2018, 2019",property_tax_extraction,
Harrison/Central,"2013, 2014, 2015",cumulative_property_tax_extraction,
Hollywood/Sheridan,"2013, 2015",cumulative_property_tax_extraction,
Irving Park/Elston,"2013, 2014, 2015, 2016, 2017, 2018, 2019",cumulative_property_tax_extraction,
Kennedy/Kimball,"2013, 2014, 2016",cumulative_property_tax_extraction,
Kostner Avenue,"2011, 2012, 2013, 2014",property_tax_extraction,
LaSalle Central,2012,property_tax_extraction,
Little Village East,"2013, 2014, 2015, 2017, 2018",cumulative_property_tax_extraction,
Little Village East,2019,property_tax_extraction,
Little Village Industrial Corridor,"2013, 2014, 2015, 2016, 2017",cumulative_property_tax_extraction,
Little Village Industrial Corridor,2019,property_tax_extraction,
Michigan/Cermak,2015,cumulative_property_tax_extraction,
Michigan/Cermak,2012,property_tax_extraction,
Near West,2013,cumulative_property_tax_extraction,
Ogden/Pulaski,"2014, 2015, 2016, 2017",cumulative_property_tax_extraction,
Pershing/King,"2013, 2014, 2015",cumulative_property_tax_extraction,
Pershing/King,"2016, 2017, 2018",property_tax_extraction,
Pratt/Ridge Industrial Park Conservation Area,2013,cumulative_property_tax_extraction,
Pratt/Ridge Industrial Park Conservation Area,2014,property_tax_extraction,
Read/Dunning,2012,property_tax_extraction,
Roosevelt/Homan,2012,property_tax_extraction,
South Works Industrial,"2018, 2019",property_tax_extraction,
West Pullman,"2012, 2013, 2014",property_tax_extraction,
West Woodlawn,"2013, 2014, 2015, 2016, 2018, 2020",cumulative_property_tax_extraction,
